,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
99,advances in materials science and engineering,1687-8442,795.0,638.0,1.2460815047021945,0.245,2015
100,advances in mathematical physics,1687-9120,210.0,185.0,1.135135135135135,0.218,2015
101,advances in mechanical engineering,1687-8140,862.0,765.0,1.126797385620915,0.21600000000000003,2015
102,advances in medical sciences,1898-4002,399.0,253.0,1.5770750988142292,0.32899999999999996,2015
103,advances in meteorology,1687-9309,538.0,339.0,1.5870206489675516,0.332,2015
104,advances in meteorology,1687-9317,538.0,339.0,1.5870206489675516,0.332,2015
105,advances in numerical analysis,1687-9570,28.0,40.0,0.7,0.11900000000000001,2015
106,advances in operations research,1687-9155,53.0,48.0,1.1041666666666667,0.21,2015
107,advances in optical technologies,1687-6407,126.0,97.0,1.2989690721649485,0.258,2015
108,advances in optoelectronics,1687-5648,104.0,81.0,1.2839506172839503,0.254,2015
109,advances in pharmacological sciences,1687-6342,304.0,100.0,3.04,0.752,2015
110,advances in physical chemistry,1687-7993,130.0,71.0,1.8309859154929575,0.39799999999999996,2015
111,advances in physiology education,1522-1229,576.0,275.0,2.0945454545454547,0.47100000000000003,2015
112,advances in rehabilitation,1734-4948,12.0,21.0,0.5714285714285714,0.092,2015
113,advances in science and research,1992-0636,151.0,113.0,1.336283185840708,0.267,2015
114,advances in software engineering,1687-8663,62.0,49.0,1.2653061224489797,0.25,2015
115,advances in therapy,1865-8652,1238.0,420.0,2.9476190476190482,0.7240000000000001,2015
116,advances in tribology,1687-5923,71.0,73.0,0.9726027397260274,0.179,2015
117,advances in urology,1687-6377,444.0,202.0,2.198019801980198,0.5,2015
118,aequationes mathematicae,1420-8903,186.0,170.0,1.0941176470588236,0.20800000000000002,2015
119,aerobiologia,1573-3025,391.0,190.0,2.057894736842105,0.46,2015
120,aesthetic plastic surgery,1432-5241,1316.0,818.0,1.60880195599022,0.33799999999999997,2015
121,africa spectrum,0002-0397,137.0,89.0,1.5393258426966292,0.32,2015
122,africa spectrum,1868-6869,137.0,89.0,1.5393258426966292,0.32,2015
123,african archaeological review,1572-9842,114.0,86.0,1.3255813953488371,0.265,2015
124,african invertebrates,2305-2562,88.0,116.0,0.7586206896551724,0.131,2015
125,african journal of agricultural research,1991-637X,1298.0,1571.0,0.8262253341820497,0.146,2015
126,african journal of biotechnology,1684-5315,6131.0,5804.0,1.056340454858718,0.19899999999999998,2015
127,african journal of business management,1993-8233,1184.0,1281.0,0.9242779078844652,0.168,2015
128,african journal of microbiology research,1996-0808,1931.0,2207.0,0.8749433620299049,0.157,2015
129,african journal of paediatric surgery,0974-5998,259.0,295.0,0.8779661016949153,0.158,2015
130,african journal of pharmacy and pharmacology,1996-0816,773.0,938.0,0.82409381663113,0.146,2015
131,african journal of primary health care & family medicine,2071-2936,172.0,181.0,0.9502762430939228,0.174,2015
132,age,1574-4647,2046.0,608.0,3.3651315789473686,0.855,2015
133,ageing international,1936-606X,204.0,119.0,1.7142857142857142,0.366,2015
134,aging cell,1098-2337,3800.0,585.0,6.495726495726496,1.955,2015
135,aging cell,1474-9718,3800.0,585.0,6.495726495726496,1.955,2015
136,aging cell,1474-9726,3800.0,585.0,6.495726495726496,1.955,2015
137,aging clinical and experimental research,1720-8319,812.0,475.0,1.7094736842105265,0.365,2015
138,agricultural and food science,1459-6067,375.0,196.0,1.913265306122449,0.42,2015
139,agricultural and food science,1795-1895,375.0,196.0,1.913265306122449,0.42,2015
140,agriculture and human values,1572-8366,873.0,205.0,4.258536585365853,1.15,2015
141,agrociencia,1405-3195,211.0,358.0,0.5893854748603352,0.096,2015
142,agrociencia,2301-1548,211.0,358.0,0.5893854748603352,0.096,2015
143,agroforestry systems,1572-9680,876.0,493.0,1.7768762677484786,0.38299999999999995,2015
144,agronomy for sustainable development,1773-0155,1884.0,295.0,6.386440677966101,1.9140000000000001,2015
145,ai & society,1435-5655,188.0,191.0,0.9842931937172776,0.182,2015
146,aids and behavior,1573-3254,5424.0,1285.0,4.221011673151752,1.137,2015
147,aids research and therapy,1742-6405,455.0,193.0,2.357512953367876,0.546,2015
148,aids research and treatment,2090-1259,416.0,178.0,2.337078651685393,0.54,2015
149,aip advances,2158-3226,2335.0,1421.0,1.6432090077410275,0.34700000000000003,2015
150,alcohol,0741-8329,1168.0,388.0,3.0103092783505154,0.743,2015
151,alcohol research & health,1535-7414,356.0,76.0,4.684210526315789,1.296,2015
152,algebra universalis,1420-8911,145.0,180.0,0.8055555555555556,0.142,2015
153,algebras and representation theory,1572-9079,292.0,282.0,1.0354609929078014,0.19399999999999998,2015
154,algorithmica,1432-0541,854.0,493.0,1.7322515212981744,0.371,2015
155,algorithms,1999-4893,219.0,132.0,1.6590909090909092,0.35100000000000003,2015
156,algorithms for molecular biology,1748-7188,505.0,149.0,3.389261744966443,0.863,2015
157,allergology international,1323-8930,828.0,315.0,2.628571428571429,0.627,2015
158,allergology international,1440-1592,828.0,315.0,2.628571428571429,0.627,2015
159,alpine botany,1664-221X,97.0,53.0,1.8301886792452833,0.397,2015
160,amb express,2191-0855,841.0,268.0,3.138059701492537,0.7829999999999999,2015
161,american journal of animal and veterinary sciences,1557-4563,116.0,148.0,0.7837837837837838,0.13699999999999998,2015
162,american journal of applied sciences,1554-3641,998.0,876.0,1.139269406392694,0.21899999999999997,2015
163,american journal of cancer research,2156-6976,967.0,241.0,4.012448132780083,1.067,2015
164,american journal of cardiovascular drugs,1179-187X,487.0,217.0,2.2442396313364057,0.514,2015
165,american journal of clinical dermatology,1179-1888,800.0,253.0,3.1620553359683794,0.79,2015
166,american journal of criminal justice,1936-1351,295.0,158.0,1.8670886075949369,0.40700000000000003,2015
167,american journal of dance therapy,1573-3262,45.0,46.0,0.9782608695652174,0.18100000000000002,2015
